Unnamed: 0,Company,Country,City,BRAND NAME,Category,Mall Name,Location Code Oracle,Store Name,Gross Sale,Markdown,Net Sales,Stock Shrinkage,Cost of Sales,Royalty Expenses,Royalty,Minimum Royalty Commitment,Gross Profit ,Rental Expenses,Basic Rent,Service Charges,Supplemental Rent (If Any),Rent Rebate/Relief,IFRS 16 impact,Personnel Expenses,Salary - Staff,Staff Welfare & Uniform,Overtime Wages,Staff Leave Salary/Bonus Payable,Staff Leave Passage Payable,Gratuity & Terminal Benefits,Medical Expenses,Visa Expenses,Recruitment & Training Expenses,Temporary Staff Salary,Provision for Salary Increments,HRDF Support from Govt.,GOSI (Monthly Fees to Gov.),Staff Insurance (Medical Insu),Vehicle Allowance To Staff,Sales Incentive,Commission & Incentives,Selling & Marketing Expenses,Advertisement,Sales Promotion Expenses,Gift Voucher Redeemed,Shopping Bags & Packing Material,Club Apparel Points Issued,KSA Digital marketing,Other Administrative Expenses,Credit Card Expenses,Water & Electricity Charges,Postage & courier,Communication Expenses,Repairs & Maintenance,Cleaning & Security Charges,Trade Licence & Sponsor Fees,Licence Fees & Taxes-Others,Sponsorship Fee,Insurance,Travelling Expenses,Conveyance,Vehicle Expenses,Salik Card Expenses,Fuel Charges-Vehicle,Audit Fees,Legal Expenses & Other Professional Chrgs.,Gifts & Donations,Printing & Stationery -General,Miscellaneous Expenses,Membership & Subscription,Entertainment Expenses,Miscellaneous items purchased,Transportation Charges,Realised Exchange Losses/Gain,Fine Charges,Parking Charges,Refreshment & Housekeeping,Online Delivery Charges,Withholding Tax,Supply Chain & Distribution Expenses,Supply Chain & Distribution Region Expenses,Supply Chain & Distribution Expenses from UAE,Supply Chain Income from UAE,Store Level Expenses,Store EBITDA,Depreciation,Depreciation.1,Amortisation,Key Money Amortisation,Amortisation of Franchisee Fee,Store Opening Fee,Loss on Demolition of Assets,Loss on Demolition of Assets.1,Store EBIT,Division Expenses,Regional Expenses,UAE corporate Expenses Allocation,India Office Cost,Others if any,Operating Profit,Supporting Center Expenses,Regional Expenses SC,UAE corporate Expenses Allocation SC,India Office SC Cost,Finance Charges,Bank Charges,Finance Cost,Other Income,Income On Overseas Sales,Miscellaneous Income,Price/Trade  Discount / BBZ Loss,Capex  Income,6th Street Margin,Third Party Income (3P Outright / Market Place etc),Provision for Slow moving Inventories,Provision for Slow moving Inventories.1,Net Profit (Before Tax),TAX,Net Profit (After Tax),Bonus  / Incentive,Net Profit (After Bonus)
,Bahrain Apparel Trading W.L.L,BAHRAIN,BAHRAIN,COLDSTONE CREMERY,Food & Beverages,DISTRICT 2 MALL,3101437297.0,CSC DISTRICT 2 MALL-BAHRAIN,214649.5065,0.0,214649.5065,0.0,59884.5,6439.485195,6439.485195,0.0,148325.521305,24505.81887445837,24131.25,0.0,374.5688744583725,0.0,0.0,48418.5,48418.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6128.4892500000005,0.0,5873.682750000001,0.0,0.0,254.8065,,49338.92281499999,2146.495065,4694.586,0.0,364.54275,1930.5,2798.445,0.0,2193.75,0.0,2708.6474999999996,690.7875000000001,968.9062499999999,5287.7565,0.0,0.0,149.10675,0.0,0.0,176.67974999999998,0.0,0.0,24.618750000000002,127.725,25051.757249999995,0.0,0.0,0.0,24.618750000000002,0.0,0.0,136.5,136.5,0.0,0.0,128528.23093945836,19797.290365541645,20552.97619047619,20552.97619047619,0.0,0.0,0.0,0.0,0.0,0.0,-755.685824934546,5913.848528076713,1915.1785714285713,2347.542793159151,0.0,1651.1271634889895,-6669.534353011259,3939.825820651827,2271.75,1668.0758206518271,0.0,17726.42198774524,0.0,17726.42198774524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28335.78216140833,0.0,-28335.78216140833,-2833.5782161408347,-25502.203945267494
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,WINGSTOP,Food & Beverages,DISTRICT 2 MALL,3101437288.0,WSP DISTRICT 2 MALL-BAHRAIN,2112381.48225,0.0,2112381.48225,0.0,579189.0,105619.0741125,105619.0741125,0.0,1427573.4081374998,140402.4004182766,136743.75,0.0,3658.650418276601,0.0,0.0,334520.3903374944,285546.4913374944,0.0,0.0,756.5025,0.0,8907.346499999996,12967.5,6873.75,0.0,0.0,0.0,0.0,19468.800000000003,0.0,0.0,0.0,0.0,59481.81525000001,4458.87,55022.945250000004,0.0,0.0,0.0,,276739.5453225,21123.8148225,28541.613749999993,0.0,1018.875,5343.195,6025.5975,0.0,12431.25,0.0,2708.6474999999996,305.85749999999996,1484.4375,20821.934250000002,0.0,0.0,1469.0129999999997,0.0,0.0,297.765,0.0,0.0,0.0,1636.83,173530.71449999997,0.0,0.0,0.0,0.0,0.0,0.0,1374.75,1374.75,0.0,0.0,812518.901328271,615054.5068092288,97489.88095238096,97489.88095238096,0.0,0.0,0.0,0.0,0.0,0.0,517564.62585684785,18164.041668600938,1915.1785714285713,0.0,0.0,16248.863097172365,499400.5841882469,30087.45526247289,22376.25,7711.205262472889,0.0,44063.24432438052,0.0,44063.24432438052,23809.495947021485,23809.495947021485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449059.38054841495,0.0,449059.38054841495,44905.93805484152,404153.4424935734
,Bahrain Apparel Trading W.L.L,BAHRAIN,BAHRAIN,COLDSTONE CREMERY,Food & Beverages,MARASSI GALLERIA MALL,3101377353.0,CSC MARASSI 2,122952.336,0.0,122952.336,0.0,30351.75,3688.5700799999995,3688.5700799999995,0.0,88912.01591999999,11688.675720407435,11478.56775,0.0,210.10797040743546,0.0,0.0,44539.65685508309,39028.46935508309,0.0,0.0,0.0,0.0,1238.7375,1004.25,1852.5,0.0,0.0,0.0,0.0,1415.6999999999998,0.0,0.0,0.0,0.0,6497.79975,3032.25,3160.62825,0.0,0.0,304.92150000000004,,25621.819860000003,1229.52336,2798.25,0.0,833.469,1205.451,252.18375000000003,48.75,1755.0,0.0,2166.918,1496.0985,529.9125,5970.246749999999,0.0,0.0,82.758,0.0,0.0,23.4,0.0,0.0,298.49625000000003,6632.8665,0.0,0.0,0.0,0.0,298.49625000000003,0.0,0.0,78.0,78.0,0.0,0.0,88425.95218549053,486.0637345094583,26395.357142857145,26395.357142857145,0.0,0.0,0.0,0.0,0.0,0.0,-25909.293408347687,4205.637189664005,1915.1785714285713,1344.684527746084,0.0,945.7740904893493,-30114.93059801169,2261.9823680633954,1306.5,955.4823680633955,0.0,10153.785246718193,0.0,10153.785246718193,368.7751299694513,368.7751299694513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42161.92308282383,0.0,-42161.92308282383,-4216.192308282381,-37945.730774541444
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,WINGSTOP,Food & Beverages,AL LIWAN MALL,3101417382.0,AL LIWAN,856405.8944999999,0.0,856405.8944999999,0.0,252905.25,42820.294725,42820.294725,0.0,560680.3497749999,93165.94163111495,60518.25,0.0,1476.9416311149573,0.0,31170.75,131620.02147926268,125605.36347926267,0.0,0.0,0.0,0.0,1065.558,1560.0,828.75,0.0,0.0,0.0,0.0,2560.3500000000004,0.0,0.0,0.0,0.0,68798.145,1170.0,67628.145,0.0,0.0,0.0,,176888.45869499998,8564.058944999999,15980.298750000002,0.0,697.125,9412.28925,2164.5,0.0,8336.25,0.0,2166.918,305.95500000000004,0.0,15700.74675,0.0,0.0,627.1199999999999,0.0,0.0,1491.99375,936.3899999999999,0.0,0.0,14309.05125,96195.76199999999,0.0,0.0,0.0,0.0,0.0,0.0,555.75,555.75,0.0,0.0,471028.3168053776,89652.03296962229,54947.65244618396,54947.65244618396,0.0,0.0,0.0,0.0,0.0,0.0,34704.38052343833,8502.82490911552,1915.1785714285713,0.0,0.0,6587.646337686948,26201.555614322813,12193.792147499345,9067.5,3126.2921474993445,0.0,17864.20799807366,0.0,17864.20799807366,2568.647374465839,2568.647374465839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1287.7971567843529,0.0,-1287.7971567843529,-128.77971567843622,-1159.0174411059165
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,WINGSTOP,Food & Beverages,AL ALI  MALL,3101027352.0,WSP AL AALI MALL,1757016.3779999998,0.0,1757016.3779999998,0.0,503817.6,87850.8189,87850.8189,0.0,1165347.9590999999,131703.73339986012,128664.12,0.0,3039.613399860117,0.0,0.0,184984.1896589862,180057.0466589862,0.0,0.0,0.0,0.0,855.543,1365.0,682.5,0.0,0.0,0.0,0.0,2024.1,0.0,0.0,0.0,0.0,91592.2215,5070.0,86522.2215,0.0,0.0,0.0,,407335.85178,17570.16378,42544.125,0.0,792.8895,13846.520999999999,6064.5,1316.25,30990.96,0.0,2708.6474999999996,347.78249999999997,1305.0375,22771.934250000002,0.0,0.0,1273.86675,0.0,0.0,97.5,0.0,0.0,0.0,1306.5,264399.174,0.0,0.0,0.0,0.0,0.0,0.0,1140.75,1140.75,0.0,0.0,816756.7463388463,348591.2127611536,69193.34011741682,69193.34011741682,0.0,0.0,0.0,0.0,0.0,0.0,279397.8726437368,15430.501833589615,1915.1785714285713,0.0,0.0,13515.323262161044,263967.37081014714,25026.7022402238,18612.75,6413.952240223798,0.0,36650.502097418736,0.0,36650.502097418736,5269.87907863259,5269.87907863259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207560.0455511372,0.0,207560.0455511372,20756.0045551137,186804.0409960235
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,SUSHI LIBRARY,Food & Beverages,MARASSI GALLERIA MALL,3101376886.0,SLI MARASSI GALLERIA MALL-BAHRAIN,1217200.0815,0.0,1217200.0815,0.0,315792.75,48688.003260000005,48688.003260000005,0.0,852719.3282400001,87314.27244557215,85204.00200000001,0.0,2110.2704455721364,0.0,0.0,393960.56292480935,345183.13292480935,0.0,0.0,4654.3575,9603.75,6795.75,6335.874999999999,7068.50625,0.0,0.0,0.0,0.0,14090.7,228.49125000000004,0.0,0.0,0.0,34895.96175,0.0,26055.51975,0.0,0.0,8840.442,,200512.05174000005,12172.000815000001,29884.481250000008,0.0,2248.63275,6069.862499999999,27561.300000000003,0.0,41086.0125,0.0,2708.6474999999996,539.6625,738.5429999999999,0.0,0.0,0.0,822.1395,0.0,0.0,0.0,0.0,1466.3999999999999,107.25,0.0,75107.11942500003,0.0,0.0,0.0,0.0,0.0,0.0,789.75,789.75,0.0,0.0,717472.5988603815,135246.72937961854,95207.72225,95207.72225,0.0,0.0,0.0,0.0,0.0,0.0,40039.007129618534,43746.35988043636,1915.1785714285713,32468.233540173005,0.0,9362.947768834782,-3707.352750817823,46059.7201787397,12889.5,33170.2201787397,0.0,0.0,0.0,0.0,23809.495947021485,23809.495947021485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25957.576982536037,0.0,-25957.576982536037,-2595.7576982536,-23361.819284282436
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,SUSHI LIBRARY,Food & Beverages,AVENUE MALL- BAHRAIN,3101276972.0,SLI AVENUES MALL-BAHRAIN,1040597.8439999999,0.0,1040597.8439999999,0.0,265363.995,41623.913759999996,41623.913759999996,0.0,733609.9352399999,273090.5306928385,271293.75,0.0,1796.780692838509,0.0,0.0,441434.133959792,374646.13670979196,0.0,0.0,2197.806,17501.25,7795.125,5967.0,17428.125,0.0,0.0,0.0,0.0,15670.2,228.49125000000004,0.0,0.0,0.0,29469.111749999996,487.5,24790.84725,0.0,32.175000000000004,4158.589499999999,,213416.37368999998,10405.978439999999,78204.75,0.0,1287.96525,3466.6125,38804.9025,0.0,23409.75,0.0,2708.6474999999996,539.6625,569.01,0.0,0.0,0.0,701.30775,0.0,0.0,257.90700000000004,0.0,0.0,175.69500000000002,3693.97275,49129.56749999997,0.0,0.0,0.0,60.645,0.0,0.0,672.75,672.75,0.0,0.0,958082.9000926304,-224472.9648526305,95395.23809523809,95395.23809523809,0.0,0.0,0.0,0.0,0.0,0.0,-319868.2029478686,37677.119228287294,1915.1785714285713,27757.45280821567,0.0,8004.4878486430525,-357545.3221761559,39384.83896800717,11027.25,28357.58896800717,0.0,0.0,0.0,0.0,23809.495947021485,23809.495947021485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-373120.66519714164,0.0,-373120.66519714164,-37312.06651971416,-335808.5986774275
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,WINGSTOP,Food & Beverages,AVENUE MALL- BAHRAIN,3101277289.0,WSP AVENUES MALL-BAHRAIN,1832841.348,0.0,1832841.348,0.0,506073.75,91642.0674,91642.0674,0.0,1235125.5306,155008.04613138956,127237.5,0.0,3171.2961313895503,0.0,24599.25,379117.1959354839,341319.3124354839,0.0,0.0,1210.0725,0.0,8028.110999999995,10822.5,5460.0,0.0,0.0,0.0,0.0,12277.200000000003,0.0,0.0,0.0,0.0,32179.465500000002,0.0,32179.465500000002,0.0,0.0,0.0,,215850.13398000004,18328.41348,41242.50000000001,0.0,1019.0894999999999,21537.555,20428.589999999997,0.0,14590.875,0.0,2708.6474999999996,305.85749999999996,817.1864999999999,20821.934250000002,0.0,0.0,1225.6042499999999,0.0,1950.0,343.20000000000005,215.47500000000002,0.0,8.72625,4197.4335,66100.31999999999,0.0,0.0,0.0,8.72625,0.0,0.0,1189.5,1189.5,0.0,0.0,783344.3415468734,451781.1890531265,96971.96428571429,96971.96428571429,0.0,0.0,0.0,0.0,0.0,0.0,354809.2247674122,16013.762748926207,1915.1785714285713,0.0,0.0,14098.584177497636,338795.462018486,26102.999737552764,19412.25,6690.749737552764,0.0,38232.17387738533,0.0,38232.17387738533,35133.17194702148,35133.17194702148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309593.4603505694,0.0,309593.4603505694,30959.346035056933,278634.1143155125
,Bahrain Apparel Trading W.L.L,BAHRAIN,BAHRAIN,COLDSTONE CREMERY,Food & Beverages,BLOCK 338-BAHRAIN,3101396789.0,CSC BLOCK 338-BAHRAIN,167528.54625,0.0,167528.54625,0.0,48155.25,5025.8563875,5025.8563875,0.0,114347.43986250002,73411.39899442483,73125.0,0.0,286.39899442482476,0.0,0.0,39407.00376040678,28606.441260406777,0.0,0.0,0.0,1706.25,1255.3125,1209.0,1852.5,0.0,0.0,0.0,0.0,4777.5,0.0,0.0,0.0,0.0,7013.214,0.0,6819.37425,0.0,0.0,193.83975,,70072.9784625,1675.2854625,11534.932499999999,0.0,941.1772500000001,1852.5,3432.0,0.0,7312.5,0.0,2708.6474999999996,1344.5445,0.0,5287.746749999999,0.0,0.0,114.14325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33869.501249999994,0.0,0.0,0.0,0.0,0.0,0.0,107.25,107.25,0.0,0.0,190011.8452173316,-75664.40535483159,18197.67857142857,18197.67857142857,0.0,0.0,0.0,0.0,0.0,0.0,-93862.08392626015,5036.039996613416,1915.1785714285713,1832.1981625316112,0.0,1288.6632626532337,-98898.12392287356,3076.3912636939904,1774.5,1301.8912636939904,0.0,13835.026943427874,0.0,13835.026943427874,23809.495947021485,23809.495947021485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92000.04618297395,0.0,-92000.04618297395,-9200.004618297393,-82800.04156467656
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,WINGSTOP,Food & Beverages,MARASSI GALLERIA MALL,3101377354.0,WSP MARASSI,2161888.0919999997,0.0,2161888.0919999997,0.0,627188.25,108094.40460000001,108094.40460000001,0.0,1426605.4373999997,38416.75455596433,34677.68849999999,0.0,3739.066055964346,0.0,0.0,288960.32088018436,252408.60438018435,0.0,0.0,793.6500000000001,0.0,6812.2665000000015,9262.5,5118.75,0.0,0.0,0.0,0.0,14564.550000000001,0.0,0.0,0.0,0.0,46193.30625,1992.12,44201.18625,0.0,0.0,0.0,,215104.34517,21618.88092,15513.46875,0.0,1207.1962500000002,8975.91825,12792.0,0.0,4875.0,0.0,2708.6474999999996,305.85749999999996,243.75,21211.934250000002,0.0,0.0,1473.02025,0.0,0.0,301.7625,0.0,0.0,0.0,1689.7725,122187.13649999998,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,1404.0,0.0,0.0,590078.7268561488,836526.7105438509,102149.34523809524,102149.34523809524,0.0,0.0,0.0,0.0,0.0,0.0,734377.3653057556,18544.85646507229,1915.1785714285713,0.0,0.0,16629.67789364372,715832.5088406834,30794.67812566745,22902.75,7891.928125667451,0.0,45095.927984702364,0.0,45095.927984702364,18970.044550177532,18970.044550177532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658911.947280491,0.0,658911.947280491,65891.19472804913,593020.7525524419
